DEBIT	CREDIT	TRANSFERID	CREATEDDATE
1.05	0.02	1472712436	30-DEC-25
0.7	0	1478686187	30-DEC-25
0	1	1478686545	30-DEC-25
4.5	0	1478686583	30-DEC-25
0.02	1.05	1478686871	30-DEC-25
0.5	0	1478687619	30-DEC-25
10	0	1478687628	30-DEC-25
0.8	0	1478687736	30-DEC-25
0.5	0	1478687898	30-DEC-25
0.2	0	1478688080	30-DEC-25
0.5	0	1478688263	30-DEC-25
0.25	0	1478688692	30-DEC-25
0.02	0.55	1478689046	30-DEC-25
0	0.5	1478689118	30-DEC-25
0	0.5	1478689215	30-DEC-25
0.2	0	1478689258	30-DEC-25
0	0.5	1478689411	30-DEC-25
0	10	1478689529	30-DEC-25
0	0.2	1478689561	30-DEC-25
2	0	1478689913	30-DEC-25
0	0.5	1478689926	30-DEC-25
0.5	0	1478689966	30-DEC-25
0.02	0.3	1478690032	30-DEC-25
0.02	0.55	1478690177	30-DEC-25
0.3	0	1478690327	30-DEC-25
1	0	1478690545	30-DEC-25
0	0.5	1478690848	30-DEC-25
0.12	0	1478690885	30-DEC-25
0	0.5	1478690891	30-DEC-25
0	0.25	1478690990	30-DEC-25
0.02	0.525	1478692158	30-DEC-25
1.75	0	1478692444	30-DEC-25
0.02	0.55	1478692538	30-DEC-25
0.02	1.05	1478692556	30-DEC-25
0.02	0.55	1478692727	30-DEC-25
0	0.5	1478692758	30-DEC-25
0.02	0.55	1478693035	30-DEC-25
0.02	1.05	1478693450	30-DEC-25
1.5	0	1478693515	30-DEC-25
0	0.5	1478693564	30-DEC-25
0.5	0	1478693879	30-DEC-25
0.02	1.025	1478693920	30-DEC-25
0	0.5	1478693939	30-DEC-25
0.02	1.05	1478694084	30-DEC-25
0.02	0.55	1478694287	30-DEC-25
0.02	0.3	1478694361	30-DEC-25
0	0.5	1478694401	30-DEC-25
0	0.16	1478694465	30-DEC-25
0.02	4.1	1478694509	30-DEC-25
0	0.25	1478694715	30-DEC-25
0	0.5	1478694782	30-DEC-25
0.02	0.55	1478695108	30-DEC-25
0	0.25	1478695150	30-DEC-25
0.02	3.1	1478695252	30-DEC-25
0.7	0	1478695282	30-DEC-25
0.02	2.1	1478695356	30-DEC-25
0	0.8	1478695439	30-DEC-25
0	3	1478696024	30-DEC-25
0.4	0	1478696209	30-DEC-25
0.02	1.05	1478696235	30-DEC-25
0.3	0	1478696236	30-DEC-25
0.5	0	1478696821	30-DEC-25
1	0	1478696988	30-DEC-25
0	25	1478697062	30-DEC-25
0.5	0	1478697104	30-DEC-25
0.5	0	1478697390	30-DEC-25
0.02	3.1	1478697670	30-DEC-25
0.02	0.55	1478698551	30-DEC-25
0.5	0	1478698829	30-DEC-25
0.02	0.55	1478699076	30-DEC-25
0.1	0	1478699099	30-DEC-25
0.02	0.55	1478700418	30-DEC-25
0.5	0	1478700544	30-DEC-25
0.02	0.25	1478700662	30-DEC-25
0	1.85	1478700679	30-DEC-25
0.02	1.6	1478700700	30-DEC-25
0	0.5	1478700713	30-DEC-25
0.02	0.55	1478700823	30-DEC-25
1.5	0	1478701015	30-DEC-25
0	0.12	1478701221	30-DEC-25
2	0	1478701224	30-DEC-25
2.5	0	1478701267	30-DEC-25
1.5	0	1478701271	30-DEC-25
5	0	1478701508	30-DEC-25
0.02	2.1	1478701626	30-DEC-25
0	0.1	1478701654	30-DEC-25
2	0	1478701712	30-DEC-25
0.02	0.55	1478701958	30-DEC-25
5.5	0	1478701985	30-DEC-25
3	0	1478702029	30-DEC-25
3	0	1478702163	30-DEC-25
2	0	1478702544	30-DEC-25
0.02	1.22	1478702588	30-DEC-25
0.02	0.55	1478702845	30-DEC-25
0.02	0.55	1478703006	30-DEC-25
0.02	0.55	1478703198	30-DEC-25
2	0	1478703202	30-DEC-25
0.02	0.55	1478703248	30-DEC-25
0	0.5	1478703252	30-DEC-25
1	0	1478703319	30-DEC-25
